Item No.,ONS Item Description ,Sort Field,S or Q,Seasonal months,Months,J,F,M,A,M,J,J,A,S,O,N,D,Label 1,Label 2,Label 3,Label 4,Label 5,Fixed Desc. Line 1,Fixed Desc. Line 2,Fixed Desc. Line 3,Fixed Desc. Line 4,Fixed Desc. Line 5,HELP line 1,HELP line 2,HELP line 3,HELP line 4,HELP line 5,HELP line 6,c1,c2,c3,c4,c5,n1,n2,n3,n4,n5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210905,"Fresh/Chilled Chicken,per kg,state size(eg small)",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," Ensure price is per kg, not per bird"," Price same size each mnth, small/med/large", Try to choose apprx 1.5kg bird. State wght or, wght range if same price. Change in wght, ranges=N. Change of normal/free range/corn fed/, organic=N. Avoid organic if poss,Other,Change in region or country of origin,,,,Other,Change in weight or size,Change between loose and packaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210910,"Fresh boneless chicken breast fillet, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," Ensure price entered is per kg, not per pack.", State pack weight and number., State with or without skin. Try not to switch (N)., Do not price coated portions., May be displayed as fillets., Avoid organic if poss. Change = N.,Other,Change in region or country of origin,,,,Other,Change in weight or size,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211014,"Sausages, Pork, per Kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Meat Content,Other2,Other3,,,,,," State type, thick/thin/chipolatas etc.Change=N"," Must be pork,can be flavoured eg sage(N)", State meat content(e.g. 70% pork)," Ensure price entered is per KG,not per pack", State loose/pre-packed & no. in pack.Change=N, Avoid organic if poss. Change = N.,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or no. in pack,Change between loose and prepacked,Change between flavoured/unflavoured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,F- MEAT- COOKED,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211010,"Pork Pie, individual, (not buffet)",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, For consumption by one person., State brand & type e.g. Melton Mowbray., State approx size and weight. Change = N., State if loose or wrapped. Change = N., Buffet = 2-3cm diameter party pies., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change between loose and wrapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211011,"Individual meat pie, eg. steak & kidney",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," For consumption by one person, should price cold.", Meat slice/cornish pastry OK, Do not price pie slices, Same item different flavour=C, Do not price uncooked pastry/filling, Try not to switch between own-label & branded(N).,Other,Same or similar brand of same quality,Same item different flavour,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change between loose and wrapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211016,"Cooked ham, loose, specify type, per 100g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," LOOSE ham only,(from deli counter)Not prepacked", Only price organic if representative of store, Type may be honeyroast/Wiltshire/Yorkshire etc, Change between types=N, Ensure item priced per 100g NOT per KG, Try not to switch between own-label & branded(N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change between type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211018,"Cooked Meat, Turkey, Sliced, 100 - 180g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Loose/prepack,Other1,Other2,,,,,,State whether loose or pre-packed,State number of slices if pre-packed,"Change between loose/pre-packed, weight or ",no. slices=N,Price 100-180g pack or loose and NOT per Kg,Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or no. slices,Change between loose and prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,F- FROZEN MEATS & FISH,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210414,Frozen Beefburgers pk of 4 specify burger weight,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State weight of one burger in the pack e.g. 4x4oz.," Ensure beef is priced, not pork/lamb/turkey.", State % beef if available., Must be 4 pack., Only price organic if representative of store., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change in % beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210606,"Frozen Imported Lamb, Leg, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," Ensure price is per KG,not joint price", State if whole or half leg.Change=N," If half,state fillet or end", State weight/weight range if same price in range, Try not to switch between weight ranges=N, Try not to switch btwn own-label&branded(N),Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210912,"Frozen chicken breasts 500g - 1.5kg, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,boned/boneless,skin/skinless,Other1,,,,,, State number in pack., Only price organic if representative of store., Do not price mini fillets or breaded/battered, chicken, Try not to switch between own-label & branded (N)., ,Other,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211210,Frozen fish fingers (8-12 pack),2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State type of fish (cod/hoki etc)., State number & weight of pack, State % fish if available.," Change between type, % of fish or no. in pack = N.", Only price organic if representative of store., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change in type or % fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211211,Frozen breaded/battered white fish 400-550gms,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Change breaded to battered = N., Change of fish type = N., Change of pack weight = N, Can be in box or bag, , ,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change in type of fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,F- CANNED MEAT & FISH,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211007,"Canned Meat, Stewed Steak 390-425g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State weight., Do not price steak and kidney or mince., State % meat if available., , Only price organic if representative of store., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change in % of meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211207,"Canned Tuna,specify oil, brine or water,180-200g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State net weight as labelled on tin.," Change between oil, brine or water = N.", Only price organic if representative of store.," State type, e.g. steak, chunks,"," flakes, any change = N.", Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change in type,"Change between oil, brine or water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,F- FRESH FISH,1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211101,"Fresh White Fish fillets, per kg (eg Cod)",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State type & if skinned or skinless, Switch btwn type or skinned / skinless= N, Do not price mackerel. State loose or pre-packed, Must be fillets ask staff if unsure, Ensure price entrd is per kg not pack price, Can be smoked if no other available,Other,Same or similar brand of same quality,,,,Other,Change between loose and prepacked,Change between type eg. Cod/haddock,Change between skinned/skinless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211105,"Fresh fish, salmon fillets, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State if skinned or skinless., Switch  between skinned / skinless = N., State if loose or pre-packed.  Switch = N., Must be boneless., Ensure price entered is per kg not pack price., Do not price salmon steaks.,Other,Same or similar brand of same quality,,,,Other,Change between loose and prepacked,Change between skinned & skinless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"F- BUTTER, CHEESE & COLESLAW",1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211407,"Margarine/Low Fat Spread, 500g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Margarine to spread=N. Do NOT price cooking marg," Same brand variant but change in type,eg original/", olive/light=C. Flora Pro Active brand variant or, Omega 3 variant to other Flora's=N., Benecol to other spread=N, Branded to own-label =N,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211501,"Cheese Cheddar, Home produced, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Loose/prepack,Other1,Other2,,,,,Select piece upto 500g in size, Select a piece up to 500g.Price per Kg, State strength e.g. mature.Change=N, Home produced=any UK country inc.N.I., Only price organic if represents store., State loose or pre-packed.Change between=N, Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,Change in region of origin,,,Other,"Change between branded/own-brand, or different quality brand",Change in strength,Change in weight or size,Change between loose/prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211510,"Parmesan Cheese, per Kg, state type-see Help",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Loose/prepack,Type,Other2,,,,,Select piece upto 250g in size," Can be wedge, grated, shavings, change=N", Price piece up to 250g in weight. Price per kg, state weight in description, , Do not price Grana Padano cheese, Try not to switch between own-label & branded (N),Other,Same or similar brand of same quality,Change in country of origin,,,Other,"Change between branded/own-brand, or different quality brand",Change in strength,Change in weight or size,Change between loose/prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211506,"Cheese spread, tub, 160 - 200g",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State brand., State if regular/low fat/lite. Change between = N., Must be tub and not tube.,Product packaging must state the words 'spread' or,spreadable'. Do not price regular soft cheese.,Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change between regular or low fat/lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211507,"Cheese Edam, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Loose/prepack,Other1,Other2,,,,,Select piece upto 500g in size," Select a piece up to 500g,  and price per Kg.", State CoO., State wedge weight if pre-packed., Price per kg. Do NOT price from slices., Only price organic if representative of store., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in strength,Change in weight or size,Change between loose/prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211509,"Hard Regional Cheese,not veined or cheddar, per kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Loose/prepack,Other1,Other2,,,,,," E.g. Caerphilly,Cheshire,Red Leicester", State loose or pre-packed.Select piece upto 500g., State prepacked weight.Do not price with added, ingredients eg.Chives/Fruit, Change btw loose/pre-packed=N., Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change in strength or region,Change in weight or size,Change between loose/prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211511,"Soft Continental cheese - see help, per Kg",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Loose/prepack,Form,Other2,,,,,Select piece upto 500g in size," Brie, Camembert, Mozarella [block or ball]", all OK. Change in type = N. , Change regular to blue cheese = N., Change of animal milk type = N., Do not price grated cheese, Must not be British cheese,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different variety", Change of animal milk type,Change in weight or size,Change between loose/prepacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211305,"Spreadable butter, 500g, 40-70% butter content",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Butter%,Other1,Other2,,,,,," State butter content, change = C.  ", Imported to home prod = N. , Change imported countries = N. , Avoid organic. State if salted/unsalted [C], Do not price Buttermilk. Anchor = UK., Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,Change in butter content,Change btwn salted and unsalted, ,Other,"Change between branded/own-brand, or different variety",Change btwn imported and home produced,Change in imported country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211306,"Butter, 250g, spec country of origin",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Origin Country,Other1,Other2,,,,,," May be imported or home produced, change = N.", Change of imported country = N., Change countries within UK = C., Avoid organic. State if salted/unsalted [C], Jersey & Anchor = UK., Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,Change countries within UK.,Change btwn salted and unsalted, ,Other,"Change between branded/own-brand, or different variety",Change btwn imported and home produced,Change in imported country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"F- EGGS, MILK & YOGHURT",1,,,111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211603,"Eggs, Large, Free Range,  per doz or 2 x 6",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," If change size, i.e. from 2x6 to a dozen, = N"," Do NOT price battery/barn eggs, must state", Free Range, Large is sizes 1 & 2., Only price organic if representative of outlet., Try not to switch between own-label & branded (N),Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change between organic and non-organic,Change from 1 doz to 2x6pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211602,"Eggs, Medium, per doz or 2 x 6",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," If change size, i.e. from 2x6 to a dozen, = N.", , Only price organic if representative of outlet., , Change from normal to free-range/barn laid code N., Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change between plain/barn laid/free range/organic ,Change from 1 doz to 2x6pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211709,"Shop Milk,whole milk,4pt/2 ltr container,specify",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State if 4 pints or 2 litre & type of container., Price full cream milk only., Do not multiply or divide the price, in order to obtain correct size container., Must not contain vitamins., Try not to change between 4 pints & 2 litre (N).,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change between 4 pints & 2 litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litres",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State size & type of container.," If collecting 1 litre, Psion will calculate", price per 2 pints., Must not contain vitamins., Try not to change between 2 pints & 1 litre (N)., Only price organic if representative of outlet.,Other,Same or similar brand of same quality,,,,Other,"Change between branded/own-brand, or different quality brand",Change between 2 pints & 1 litre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211814,"Yoghurt, small individual, state weight",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,," State flavour,change=C", State pot weight.Change=N, Must price individual pot not part of multipack," Can be healthy(Activia)/layered,Change=N", , Try not to switch between own-label & branded (N),Other,Same or similar brand of same quality,Same item different flavour,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211807,"Yoghurt/fromage frais, 4-6 pack, 50-125g each",2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, State flavour.Change in flavour=C, Try not to switch between yogurt/fromage frais(N), State pot weight.Change in size/weight=N, Price multipack not 4 individual pots," May be layered, change = N.", Try not to switch between own-label & branded(N),Other,Same or similar brand of same quality,Same item different flavour,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change between yogurt/fromage frais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211808,Chilled pot dessert non yoghurt eg mousse 125-200g,2,,,111111111111,,,,,,,,,,,,,Brand/Variety,Weight/Quant,Other1,Other2,Other3,,,,,, Must NOT be yoghurt., State pot weight. Change in size/weight = N., Can price Muller rice/jelly/trifle/cheesecake/, profiterols/mousse, , Try not to switch between own-label & branded (N).,Other,Same or similar brand of same quality,Same item different flavour,,,Other,"Change between branded/own-brand, or different quality brand",Change in weight or size,Change in type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
