store,ons_item_no,ons_item_name,base_url,base_cat,store_sub1,store_sub2,store_sub3,search_terms
SAINSBURY,310421,"Red Wine, European, bottle",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/wine-champagne,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/red-wine,red wine 
SAINSBURY,310427,"RUM, WHITE, BOTTLE",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/spirits-liqueurs,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/rum,white rum 
SAINSBURY,211709,"Shop Milk, whole milk",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/fresh-milk-eggs,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/fresh-milk,whole
SAINSBURY,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/fresh-milk-eggs,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/fresh-milk,semi skimmed 
SAINSBURY,211305,"Spreadable butter, 500g, 40-70% butter content",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/butter-spreads-baking,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/spreadable-butter,spreadable butter 500g
SAINSBURY,212720,"Strawberries, per kg or per punnet",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/fresh-fruit,http://www.sainsburys.co.uk/shop/gb/groceries/fresh-fruit-veg/berries-cherries-currants,strawberries 
SAINSBURY,211901,"Tea bags, per packet of 80, 250g",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/tea-coffee-hot-drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/everyday-tea,80 250g
SAINSBURY,310403,"Vodka, bottle",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/spirits-liqueurs,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/vodka,vodka
SAINSBURY,310401,"Whisky, bottle",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/spirits-liqueurs,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/all-whisky,whisky
SAINSBURY,210111,"White Sliced Loaf, branded",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/bakery,http://www.sainsburys.co.uk/shop/gb/groceries/bakery/bread,http://www.sainsburys.co.uk/shop/gb/groceries/bakery/white-bread,sliced 
SAINSBURY,310419,"White Wine, European, bottle",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/wine-champagne,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/white-wine,white wine
SAINSBURY,210113,"Wholemeal Sliced Loaf, branded",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/bakery,http://www.sainsburys.co.uk/shop/gb/groceries/bakery/bread,http://www.sainsburys.co.uk/shop/gb/groceries/bakery/wholemeal-brown-bread,wholemeal sliced
SAINSBURY,211814,"Yoghurt, small individual",http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/yogurts,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/corners-everyday-yogurts,yogurt single
SAINSBURY,211807,Yoghurt/Fromage Frais,http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/yogurts,http://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-chilled/kids-yogurts,fromage frais 
SAINSBURY,212017,Fizzy bottled drink,http://www.sainsburys.co.uk/shop/gb/groceries,Groceries,http://www.sainsburys.co.uk/shop/gb/groceries/drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/fizzy-drinks,http://www.sainsburys.co.uk/shop/gb/groceries/drinks/fruit-flavoured,bottle
